id,typeOfQuestion,first_color,second_color,third_color,clicks,rating
5710cbc5f0ea4,twoColorsObj,#00FF00,#0000FF,#008080,1061,2
57113b7f16c4b,twoColorsObj,#00FF00,#0000FF,#7d93a6,871,2
