id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3
5734918f46823,objTwoColors,#8000FF,2,209,49,2,0.73,0.05,0.28,0.11,0.18,0.19,0.78,0.58,0.58
5734d89183dab,objTwoColors,#8000FF,6,230,80,4,0.77,0.11,0.34,0.09,0.14,0.16,0.83,0.63,0.62
5735d3455a84c,objTwoColors,#8000FF,247,295,192,4,0.06,0.01,0.36,0.07,0.02,0.07,0.46,0.39,0.39
5736048bb110b,objTwoColors,#8000FF,273,269,241,5,0.24,0.01,0.38,0.11,0,0.1,0.53,0.47,0.47
573613f4689a3,objTwoColors,#8000FF,271,270,142,3,0.23,0.02,0.1,0.11,0.01,0.1,0.53,0.47,0.47
573634984323e,objTwoColors,#8000FF,1,241,364,5,0.78,0.13,0.35,0.09,0.13,0.15,0.85,0.63,0.63
57363b3954a26,objTwoColors,#8000FF,216,317,448,1,0.12,0.03,0.29,0.04,0.03,0.03,0.27,0.31,0.31
573664e1a4a96,objTwoColors,#8000FF,232,314,73,5,0.04,0.01,0.34,0.04,0.01,0.02,0.35,0.34,0.35
57366c199283c,objTwoColors,#8000FF,274,0,157,4,0.4,0.22,0.33,0.11,0.26,0.19,0.31,0.58,0.58
5738cf3d97a58,objTwoColors,#8000FF,236,282,254,4,0.14,0.05,0.38,0.11,0.04,0.1,0.52,0.46,0.46
57427cf6bad0c,objTwoColors,#8000FF,228,311,170,3,0.03,0.02,0.33,0.05,0.01,0.03,0.36,0.32,0.32
574297edae49c,objTwoColors,#8000FF,336,238,213,3,0.67,0.06,0.33,0.04,0.05,0.06,0.75,0.55,0.54
5744dce84ffa5,objTwoColors,#8000FF,3,210,223,3,0.73,0.06,0.28,0.11,0.18,0.19,0.79,0.58,0.57
574511e99b6d9,objTwoColors,#8000FF,3,237,90,4,0.78,0.12,0.35,0.09,0.13,0.15,0.84,0.63,0.62
57451c3b38192,objTwoColors,#8000FF,0,267,206,5,0.74,0.2,0.33,0.11,0.24,0.18,0.8,0.59,0.59
5745350dc1e22,objTwoColors,#8000FF,236,8,141,5,0.33,0.13,0.35,0.09,0.13,0.15,0.35,0.63,0.63
5745500f6e643,objTwoColors,#8000FF,226,327,138,3,0.16,0.01,0.32,0.03,0.04,0.03,0.23,0.43,0.43
57459c393bbd0,objTwoColors,#8000FF,7,229,80,4,0.77,0.11,0.33,0.09,0.14,0.16,0.83,0.61,0.61
5745b5cbe3caa,objTwoColors,#8000FF,300,214,408,4,0.38,0.06,0.3,0.07,0.02,0.04,0.52,0.42,0.42
5745c1c07cc0c,objTwoColors,#8000FF,300,324,645,2,0.31,0.19,0.29,0.09,0.2,0.11,0.22,0.33,0.33
5745f6f039dc9,objTwoColors,#8000FF,0,0,0,2,0.88,0.49,0.4,0.25,0.48,0.4,0.57,0.7,0.7
