id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57113ce1334e0,19,Female,12,no,twoColorsObj,#00FF00,#FF00FF,#808000,776,2,0.35,0.13,0.35,0.13,0.16,0.1,0.12
57113d4d93c81,18,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,350,3,0.36,0.15,0.36,0.15,0.19,0.11,0.12
57113e6176346,23,Female,30,no,twoColorsObj,#00FF00,#FF00FF,#808000,343,1,0.35,0.13,0.35,0.13,0.16,0.1,0.12
57114ae35c9ec,47,Female,11,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,350,3,0.36,0.15,0.36,0.15,0.19,0.11,0.12
571153e3025f9,22,Female,11,no,twoColorsObj,#00FF00,#FF00FF,#808000,347,2,0.35,0.13,0.35,0.13,0.16,0.1,0.12
571154184c9bd,47,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,90,1,0.35,0.13,0.35,0.13,0.16,0.1,0.12
5711602ded5e3,48,Female,4,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,5,0.23,0.2,0.23,0.2,0.23,0.03,0
571163013744e,53,Female,13,no,twoColorsObj,#00FF00,#FF00FF,#7f00ff,3,3,0.05,0.37,0.05,0.37,0.39,0.21,0.19
5711641931da5,20,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#5792ff,133,2,0.11,0.32,0.11,0.32,0.34,0.15,0.13
571165992a5c1,67,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c6aeff,1035,2,0.17,0.25,0.17,0.25,0.28,0.09,0.06
57116ce8cf9e5,50,Female,7,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,437,2,0.35,0.11,0.35,0.11,0.14,0.09,0.12
5711703bd85fc,18,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,351,4,0.35,0.13,0.35,0.13,0.16,0.1,0.12
5711800f2c5f3,59,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#808000,265,5,0.35,0.13,0.35,0.13,0.16,0.1,0.12
571183866d73f,48,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#ff0087,281,4,0.27,0.15,0.27,0.15,0.16,0.09,0.11
5711f4ec96b9c,45,Female,6,no,twoColorsObj,#00FF00,#FF00FF,#FF6755,17,1,0.32,0.09,0.32,0.09,0.12,0.09,0.12
5712197fbccd5,24,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,32,1,0.35,0.11,0.35,0.11,0.14,0.09,0.12
57123e4050550,20,Female,40,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,31,3,0.35,0.11,0.35,0.11,0.14,0.09,0.12
571252e6d2e70,31,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,471,3,0.35,0.11,0.35,0.11,0.14,0.09,0.12
57127bcfaafb0,22,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#800080,242,2,0.16,0.26,0.16,0.26,0.28,0.12,0.11
571289ef76e18,55,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#0000FF,390,4,0,0.42,0,0.42,0.44,0.26,0.23
5712bd55a8a13,27,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#FF8000,678,1,0.35,0.07,0.35,0.07,0.1,0.11,0.14
5712c2b021f58,22,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,38,2,0.35,0.13,0.35,0.13,0.16,0.1,0.12
5712c57f97f25,25,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#808080,14,3,0.23,0.2,0.23,0.2,0.23,0.03,0
