id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbe10cade,objTwoColors,#FF00FF,300,300,268,5,0.55,0.04,0.24,0.05,0.01,0.17
5710cc5a7829c,objTwoColors,#FF00FF,300,0,104,4,0.91,0.17,0.05,0.06,0.17,0.04
5710cd99df604,objTwoColors,#FF00FF,313,315,170,1,0.57,0.04,0.03,0.03,0.03,0.09
5710ce6c1308c,objTwoColors,#FF00FF,300,0,582,2,0.91,0.17,0.05,0.06,0.17,0.04
5710ceb320fdf,objTwoColors,#FF00FF,297,293,280,5,0.53,0.06,0.08,0.08,0.04,0.19
5710cf445718e,objTwoColors,#FF00FF,234,48,110,1,1.07,0.09,0.04,0.13,0.12,0.11
5710d140b7c5a,objTwoColors,#FF00FF,313,0,150,5,0.84,0.22,0.03,0.07,0.19,0.08
5710d28fec2d1,objTwoColors,#FF00FF,0,300,259,1,0.19,0.17,0.05,0.06,0.17,0.04
5710d71ff24c3,objTwoColors,#FF00FF,14,282,104,5,0.13,0.15,0.07,0.02,0.12,0.01
5710d8ca226a2,objTwoColors,#FF00FF,0,300,615,2,0.19,0.17,0.05,0.06,0.17,0.04
5710e540a9514,objTwoColors,#FF00FF,309,22,761,1,0.85,0.28,0.01,0.05,0.17,0.06
5710e60f69205,objTwoColors,#FF00FF,5,0,558,3,0.56,0.32,0.04,0.15,0.31,0.2
5710ee3fd83e6,objTwoColors,#FF00FF,329,104,9,1,0.72,0.3,0.02,0.1,0.23,0.2
5710ee55dcd72,objTwoColors,#FF00FF,287,58,449,3,0.94,0.31,0.01,0.11,0.15,0.11
57110028bc74b,objTwoColors,#FF00FF,0,300,89,3,0.19,0.17,0.05,0.06,0.17,0.04
571103343658b,objTwoColors,#FF00FF,298,0,183,5,0.92,0.16,0.05,0.06,0.17,0.03
5711106ab212a,objTwoColors,#FF00FF,3,184,56,4,0.25,0.16,0.04,0.1,0.17,0.14
5711148c11035,objTwoColors,#FF00FF,300,0,10,3,0.91,0.17,0.05,0.06,0.17,0.04
57111f6c42412,objTwoColors,#FF00FF,300,0,61,5,0.91,0.17,0.05,0.06,0.17,0.04
57112a657ac25,objTwoColors,#FF00FF,309,0,55,3,0.87,0.2,0.04,0.07,0.18,0.07
57112b9e10661,objTwoColors,#FF00FF,91,210,115,2,0.48,0.34,0.02,0.19,0.27,0.23
57112d8509632,objTwoColors,#FF00FF,300,0,669,4,0.91,0.17,0.05,0.06,0.17,0.04
57112da850667,objTwoColors,#FF00FF,258,341,175,3,1.02,0.04,0.1,0.05,0.03,0.11
57112e8f42ab6,objTwoColors,#FF00FF,203,11,168,3,1.01,0.1,0.01,0.08,0.12,0.1
57112ebc85ba1,objTwoColors,#FF00FF,10,225,128,5,0.04,0.05,0.09,0.04,0.04,0.05
571130c5cd6e9,objTwoColors,#FF00FF,207,331,199,4,0.89,0.18,0.01,0.1,0.1,0.14
571130d934bda,objTwoColors,#FF00FF,1,0,332,3,0.55,0.33,0.13,0.15,0.31,0.2
5711338142ff8,objTwoColors,#FF00FF,0,0,0,3,0.55,0.33,0.13,0.15,0.31,0.2
