id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112ebc85ba1,18,Female,32,no,objTwoColors,#80FF00,177,63,223,5,0.63,0.05,0.25,0.06,0.13,0.11
5711348e42f02,19,Female,32,no,objTwoColors,#80FF00,123,55,295,4,0.65,0,0.28,0.12,0.2,0.16
57113d4d93c81,18,Female,32,no,objTwoColors,#80FF00,140,57,159,4,0.64,0.02,0.27,0.11,0.19,0.15
5711703bd85fc,18,Female,32,no,objTwoColors,#80FF00,56,229,211,5,0.58,0.06,0.33,0.02,0.04,0.12
5734d89183dab,19,Female,29,no,objTwoColors,#80FF00,58,189,78,4,0.37,0.04,0.25,0.06,0.11,0.1
5736048bb110b,19,Male,32,no,objTwoColors,#80FF00,90,80,195,5,0.61,0.01,0.28,0.11,0.2,0.19
573634984323e,19,Male,32,no,objTwoColors,#80FF00,62,127,45,4,0.52,0.01,0.28,0.11,0.2,0.17
57366c199283c,19,Male,32,no,objTwoColors,#80FF00,59,173,245,3,0.29,0.04,0.25,0.06,0.12,0.11
57427cf6bad0c,19,Female,32,no,objTwoColors,#80FF00,101,103,572,1,0.65,0.03,0.29,0.12,0.23,0.23
574511e99b6d9,19,Female,32,no,objTwoColors,#80FF00,191,58,307,4,0.66,0.04,0.25,0.06,0.1,0.1
5745350dc1e22,19,Female,31,no,objTwoColors,#80FF00,59,183,115,5,0.34,0.05,0.25,0.06,0.12,0.1
5745c1c07cc0c,18,Other,31,no,objTwoColors,#80FF00,199,59,162,4,0.68,0.04,0.26,0.04,0.09,0.09
5745f6f039dc9,15,Male,33,no,objTwoColors,#80FF00,0,0,0,4,0.39,0.39,0.33,0.24,0.3,0.22
