id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710d28fec2d1,30,Male,32,no,objTwoColors,#80FF00,0,102,95,1,0.23,0.14,0.31,0.1,0.15,0.09
5710d87585247,31,Male,3,no,objTwoColors,#80FF00,250,59,331,3,0.77,0.36,0.34,0.03,0.05,0.13
5711106ab212a,33,Male,32,no,objTwoColors,#80FF00,56,116,212,3,0.51,0.01,0.28,0.12,0.2,0.17
5711148c11035,35,Male,22,no,objTwoColors,#80FF00,57,173,89,3,0.28,0.04,0.25,0.06,0.12,0.11
57112e1a2bbbb,32,Male,16,no,objTwoColors,#80FF00,60,59,233,3,0.5,0.11,0.26,0.13,0.16,0.11
571153ca15566,32,Male,32,no,objTwoColors,#80FF00,243,58,397,5,0.78,0.36,0.35,0.03,0.06,0.13
571252e6d2e70,31,Female,32,no,objTwoColors,#80FF00,55,188,132,5,0.35,0.05,0.25,0.06,0.11,0.09
57153eb9b4bed,35,Female,31,no,objTwoColors,#80FF00,0,118,93,2,0.24,0.11,0.32,0.1,0.16,0.1
57190633f233f,30,Male,32,no,objTwoColors,#80FF00,56,247,206,4,0.59,0.36,0.35,0.03,0.06,0.13
573a059da0efd,31,Female,32,yes,objTwoColors,#00FF00,195,65,180,5,0.67,0.04,0.26,0.05,0.1,0.1
573c783748e8b,37,Female,32,yes,objTwoColors,#00FF00,99,110,954,4,0.65,0.03,0.3,0.12,0.23,0.23
5740a8b59d448,31,Female,32,yes,objTwoColors,#00FF00,59,186,100,5,0.36,0.04,0.25,0.06,0.12,0.1
5740b686127bb,32,Male,32,yes,objTwoColors,#00FF00,59,147,180,4,0.44,0.03,0.26,0.09,0.18,0.15
5745b5cbe3caa,34,Female,32,no,objTwoColors,#80FF00,99,49,574,2,0.64,0.05,0.28,0.12,0.2,0.15
574859b8f3379,30,Male,32,yes,objTwoColors,#00FF00,195,52,105,4,0.68,0.04,0.26,0.05,0.09,0.09
