id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cd99df604,23,Female,32,no,objTwoColors,#80FF00,85,0,163,3,0.76,0.19,0.3,0.11,0.16,0.09
5710ce6c1308c,23,Female,32,no,objTwoColors,#80FF00,211,57,101,4,0.72,0.04,0.29,0.03,0.06,0.1
5710d71ff24c3,20,Female,32,no,objTwoColors,#80FF00,56,225,106,5,0.57,0.05,0.32,0.02,0.03,0.12
5710d8d6aecd6,23,Female,7,no,objTwoColors,#80FF00,217,57,276,3,0.74,0.05,0.3,0.03,0.04,0.11
5710e540a9514,52,Female,32,no,objTwoColors,#80FF00,134,0,176,2,0.82,0.08,0.31,0.09,0.14,0.09
5710e60f69205,24,Female,31,no,objTwoColors,#80FF00,53,193,400,4,0.37,0.04,0.25,0.05,0.09,0.09
5710ee9e58646,25,Female,32,yes,objTwoColors,#80FF00,56,198,110,4,0.42,0.04,0.26,0.05,0.09,0.09
57110028bc74b,48,Female,32,no,objTwoColors,#80FF00,0,73,120,5,0.21,0.22,0.3,0.12,0.18,0.09
571103343658b,20,Female,32,no,objTwoColors,#80FF00,85,90,153,5,0.59,0.01,0.28,0.11,0.21,0.2
57112a657ac25,20,Female,24,no,objTwoColors,#80FF00,85,0,110,3,0.76,0.19,0.3,0.11,0.16,0.09
57112b9e10661,64,Female,34,no,objTwoColors,#80FF00,197,58,69,2,0.67,0.04,0.26,0.05,0.09,0.09
57112d8509632,45,Female,32,no,objTwoColors,#80FF00,224,57,337,5,0.76,0.05,0.32,0.03,0.03,0.12
57112da850667,22,Female,47,no,objTwoColors,#80FF00,59,120,186,4,0.52,0,0.28,0.11,0.2,0.17
57112ebc85ba1,18,Female,32,no,objTwoColors,#80FF00,177,63,223,5,0.63,0.05,0.25,0.06,0.13,0.11
5711300507308,21,Female,13,no,objTwoColors,#80FF00,57,186,174,3,0.35,0.05,0.25,0.06,0.11,0.1
571130c5cd6e9,24,Female,32,no,objTwoColors,#80FF00,56,176,112,5,0.3,0.04,0.25,0.06,0.12,0.1
571130d934bda,22,Female,32,no,objTwoColors,#80FF00,83,105,293,5,0.6,0.01,0.29,0.11,0.22,0.21
5711348e42f02,19,Female,32,no,objTwoColors,#80FF00,123,55,295,4,0.65,0,0.28,0.12,0.2,0.16
57113b9642c48,21,Female,9,no,objTwoColors,#80FF00,117,0,111,5,0.82,0.11,0.32,0.1,0.16,0.1
57113d4d93c81,18,Female,32,no,objTwoColors,#80FF00,140,57,159,4,0.64,0.02,0.27,0.11,0.19,0.15
57113e6176346,23,Female,30,no,objTwoColors,#80FF00,238,53,222,4,0.79,0.36,0.35,0.02,0.07,0.13
57114ae35c9ec,47,Female,11,no,objTwoColors,#80FF00,0,143,415,2,0.18,0.06,0.3,0.08,0.11,0.07
571154184c9bd,47,Female,32,no,objTwoColors,#80FF00,130,0,16,5,0.82,0.09,0.31,0.09,0.14,0.09
571163013744e,53,Female,13,no,objTwoColors,#80FF00,47,254,288,5,0.53,0.36,0.35,0,0.08,0.14
5711641931da5,20,Female,32,no,objTwoColors,#80FF00,64,129,646,3,0.53,0.02,0.28,0.11,0.2,0.18
571165992a5c1,67,Female,32,no,objTwoColors,#80FF00,236,69,353,3,0.77,0.11,0.35,0.05,0.07,0.14
5711703bd85fc,18,Female,32,no,objTwoColors,#80FF00,56,229,211,5,0.58,0.06,0.33,0.02,0.04,0.12
5711800f2c5f3,59,Female,31,no,objTwoColors,#80FF00,188,52,91,4,0.66,0.05,0.25,0.06,0.1,0.09
571183866d73f,48,Female,32,no,objTwoColors,#80FF00,222,57,107,5,0.75,0.05,0.32,0.03,0.04,0.11
5712197fbccd5,24,Female,32,no,objTwoColors,#80FF00,0,63,146,4,0.22,0.26,0.29,0.13,0.19,0.09
57123e4050550,20,Female,40,no,objTwoColors,#80FF00,59,202,248,4,0.46,0.04,0.27,0.04,0.08,0.09
571252e6d2e70,31,Female,32,no,objTwoColors,#80FF00,55,188,132,5,0.35,0.05,0.25,0.06,0.11,0.09
57127bcfaafb0,22,Female,32,no,objTwoColors,#80FF00,50,194,206,4,0.37,0.05,0.25,0.05,0.08,0.08
571289ef76e18,55,Female,31,no,objTwoColors,#80FF00,56,357,280,5,0.66,0.29,0.29,0.14,0.2,0.1
5712bd55a8a13,27,Female,32,no,objTwoColors,#80FF00,57,204,201,3,0.46,0.04,0.27,0.04,0.07,0.09
5712c2b021f58,22,Female,32,no,objTwoColors,#80FF00,182,55,116,5,0.64,0.05,0.25,0.06,0.12,0.1
5712c57f97f25,25,Female,31,no,objTwoColors,#80FF00,121,0,166,4,0.82,0.1,0.32,0.1,0.15,0.1
5713923c1bbc7,24,Female,27,no,objTwoColors,#80FF00,351,290,845,2,0.26,0.37,0.36,0.14,0.17,0.17
5713a02a13044,24,Female,32,yes,objTwoColors,#80FF00,113,0,195,4,0.82,0.12,0.32,0.1,0.16,0.1
5713aa57bebec,24,Female,12,no,objTwoColors,#80FF00,0,77,118,4,0.21,0.21,0.3,0.11,0.17,0.09
5713dd915ca28,24,Female,20,no,objTwoColors,#80FF00,116,0,171,3,0.82,0.11,0.32,0.1,0.16,0.1
5713fc80c942a,23,Female,32,no,objTwoColors,#80FF00,55,181,154,5,0.31,0.05,0.25,0.07,0.12,0.1
57149713464b1,51,Female,32,no,objTwoColors,#80FF00,0,0,0,1,0.39,0.39,0.33,0.24,0.3,0.22
5714d563c6e52,49,Female,13,no,objTwoColors,#80FF00,0,142,122,3,0.18,0.06,0.3,0.08,0.11,0.08
57153eb9b4bed,35,Female,31,no,objTwoColors,#80FF00,0,118,93,2,0.24,0.11,0.32,0.1,0.16,0.1
5716e9900f6ea,58,Female,31,no,objTwoColors,#80FF00,55,188,145,3,0.35,0.05,0.25,0.06,0.11,0.09
572baa7f9493c,20,Female,10,no,objTwoColors,#80FF00,175,63,330,3,0.63,0.05,0.25,0.06,0.13,0.12
5734d89183dab,19,Female,29,no,objTwoColors,#80FF00,58,189,78,4,0.37,0.04,0.25,0.06,0.11,0.1
5739ff85289b2,56,Female,25,yes,objTwoColors,#00FF00,333,33,137,1,0.42,0.39,0.29,0.14,0.22,0.12
573a059da0efd,31,Female,32,yes,objTwoColors,#00FF00,195,65,180,5,0.67,0.04,0.26,0.05,0.1,0.1
573c783748e8b,37,Female,32,yes,objTwoColors,#00FF00,99,110,954,4,0.65,0.03,0.3,0.12,0.23,0.23
573ec4275ba17,24,Female,32,yes,objTwoColors,#00FF00,216,56,391,3,0.74,0.04,0.3,0.03,0.04,0.1
5740a8b59d448,31,Female,32,yes,objTwoColors,#00FF00,59,186,100,5,0.36,0.04,0.25,0.06,0.12,0.1
5740bda9be3dc,83,Female,32,yes,objTwoColors,#00FF00,57,186,105,5,0.35,0.05,0.25,0.06,0.11,0.1
5740e3f36a945,49,Female,32,yes,objTwoColors,#00FF00,97,0,154,2,0.8,0.16,0.31,0.1,0.15,0.09
574121b9e952d,22,Female,5,no,objTwoColors,#80FF00,59,208,117,3,0.49,0.04,0.28,0.03,0.07,0.1
