Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.3,0.26,0.13,0.57,0.24,0.15,0.4,0.34,0.04,0.33,0.28,0.08,0.38,0.29,0.08
Online Users (Regular),0.28,0.23,0.1,0.55,0.25,0.14,0.37,0.33,0.04,0.31,0.27,0.1,0.35,0.28,0.1
Online Users (Uncalibrated),0.37,0.27,0.2,0.57,0.27,0.12,0.44,0.35,0.07,0.39,0.3,0.07,0.43,0.32,0.08
