id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710d28fec2d1,30,Male,32,no,objTwoColors,#0080FF,0,200,328,1,0.58,0.09,0.14,0.04,0.08,0.07
5710d87585247,31,Male,3,no,objTwoColors,#0080FF,48,98,251,2,0.59,0.4,0.14,0.12,0.19,0.16
5711106ab212a,33,Male,32,no,objTwoColors,#0080FF,234,0,174,5,0.88,0.12,0.19,0.09,0.19,0.18
5711148c11035,35,Male,22,no,objTwoColors,#0080FF,181,321,188,3,0.37,0.12,0.14,0.06,0.15,0.12
571153ca15566,32,Male,32,no,objTwoColors,#0080FF,233,182,142,3,0.75,0.02,0.14,0.15,0.22,0.26
571252e6d2e70,31,Female,32,no,objTwoColors,#0080FF,232,0,64,5,0.87,0.12,0.19,0.09,0.19,0.17
57153eb9b4bed,35,Female,31,no,objTwoColors,#0080FF,0,264,52,4,0.61,0.19,0.19,0.1,0.17,0.18
57190633f233f,30,Male,32,no,objTwoColors,#0080FF,261,0,396,1,0.86,0.18,0.19,0.1,0.17,0.18
5727635041e99,38,Male,5,no,objTwoColors,#0080FF,340,141,167,4,0.77,0.4,0.14,0.04,0.05,0.07
573607add000c,38,Male,5,no,objTwoColors,#0080FF,222,200,498,3,0.68,0.04,0.14,0.17,0.24,0.3
573a059da0efd,31,Female,32,yes,objTwoColors,#0000FF,76,53,296,4,0.4,0.4,0.14,0.12,0.17,0.14
573c783748e8b,37,Female,32,yes,objTwoColors,#0000FF,238,225,123,3,0.77,0.12,0.25,0.21,0.34,0.38
5740a8b59d448,31,Female,32,yes,objTwoColors,#0000FF,249,0,209,3,0.88,0.15,0.2,0.09,0.19,0.18
5740b686127bb,32,Male,32,yes,objTwoColors,#0000FF,215,254,875,3,0.7,0.12,0.2,0.2,0.32,0.35
5745b5cbe3caa,34,Female,32,no,objTwoColors,#0080FF,211,0,80,4,0.79,0.09,0.14,0.07,0.13,0.11
574859b8f3379,30,Male,32,yes,objTwoColors,#0000FF,230,0,60,1,0.87,0.11,0.19,0.09,0.18,0.17
