id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#7f00ff,211,15,256,5,0.86,0.09,0.02,0.17,0.21,0.12
5710cc2b8a642,24,Male,16,no,objTwoColors,#7f00ff,229,333,318,4,0.84,0.03,0.08,0.2,0.31,0.22
5710cc5a7829c,27,Male,32,no,objTwoColors,#7f00ff,4,229,117,5,0.31,0.1,0.1,0.14,0.22,0.11
5710cd9d571f2,23,Male,8,no,objTwoColors,#7f00ff,0,0,0,1,0.39,0.49,0.12,0.04,0.12,0.13
5710cf445718e,25,Male,32,no,objTwoColors,#7f00ff,234,75,199,3,0.77,0.38,0.04,0.28,0.27,0.21
5710d140b7c5a,26,Male,32,no,objTwoColors,#7f00ff,238,0,76,3,0.95,0.12,0.12,0.14,0.23,0.12
5710d28fec2d1,30,Male,32,no,objTwoColors,#7f00ff,0,272,205,1,0.28,0.22,0.09,0.12,0.1,0.08
5710d8ca226a2,21,Male,4,no,objTwoColors,#7f00ff,0,192,1,5,0.11,0.01,0.04,0.19,0.21,0.14
5710d9dcc23f0,21,Male,18,no,objTwoColors,#7f00ff,262,282,268,3,0.79,0.01,0.16,0.3,0.36,0.36
5710dc0f49c60,22,Male,11,no,objTwoColors,#7f00ff,0,214,274,4,0.25,0.06,0.04,0.15,0.21,0.11
5710e5bc55564,29,Male,3,no,objTwoColors,#7f00ff,300,157,745,1,0.46,0.06,0.02,0.23,0.28,0.22
5711106ab212a,33,Male,32,no,objTwoColors,#7f00ff,9,210,70,4,0.25,0.07,0.02,0.16,0.21,0.12
5711148c11035,35,Male,22,no,objTwoColors,#7f00ff,307,209,133,2,0.55,0.05,0.03,0.25,0.34,0.28
57111f6c42412,22,Male,34,no,objTwoColors,#7f00ff,274,0,199,5,0.88,0.22,0.09,0.11,0.1,0.08
5711231e370f2,24,Male,32,yes,objTwoColors,#7f00ff,0,290,276,4,0.24,0.28,0.06,0.08,0.05,0.05
57112de7f0c00,24,Male,3,no,objTwoColors,#7f00ff,8,239,394,5,0.33,0.14,0.12,0.15,0.23,0.12
57112e1a2bbbb,32,Male,16,no,objTwoColors,#7f00ff,224,225,128,2,0.84,0.06,0.15,0.36,0.41,0.41
57112e639a100,18,Male,5,no,objTwoColors,#7f00ff,195,9,582,5,0.83,0.03,0.03,0.19,0.21,0.14
571138253c724,21,Male,8,no,objTwoColors,#7f00ff,13,225,144,4,0.33,0.12,0.08,0.16,0.21,0.12
57113a5534205,22,Male,31,no,objTwoColors,#7f00ff,238,6,198,5,0.95,0.13,0.12,0.15,0.23,0.12
57113b7f16c4b,22,Male,31,no,objTwoColors,#7f00ff,224,300,605,2,0.76,0.04,0.1,0.26,0.36,0.32
57113de4aed1a,21,Male,31,no,objTwoColors,#7f00ff,323,2,296,2,0.61,0.42,0.02,0.02,0.04,0.05
57114d8a4c057,22,Male,9,no,objTwoColors,#7f00ff,273,265,129,5,0.78,0.02,0.17,0.32,0.37,0.37
571151812791a,20,Male,32,yes,objTwoColors,#7f00ff,11,244,141,3,0.34,0.16,0.12,0.15,0.22,0.12
571153ca15566,32,Male,32,no,objTwoColors,#7f00ff,236,300,267,4,0.78,0.02,0.13,0.26,0.36,0.33
57116b9b879bf,20,Male,32,no,objTwoColors,#7f00ff,236,344,207,3,0.91,0.07,0.1,0.17,0.28,0.18
5711760a3dfe0,21,Male,8,no,objTwoColors,#7f00ff,21,221,79,5,0.35,0.13,0.05,0.17,0.21,0.13
57119224388ef,24,Male,31,no,objTwoColors,#7f00ff,359,50,532,5,0.23,0.46,0.03,0.13,0.12,0.15
5711ace2ee7ed,24,Male,32,no,objTwoColors,#7f00ff,4,208,106,4,0.21,0.05,0.02,0.16,0.21,0.12
