id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112e639a100,18,Male,5,no,objTwoColors,#7f00ff,195,9,582,5,0.83,0.03,0.03,0.19,0.21,0.14
57112ebc85ba1,18,Female,32,no,objTwoColors,#7f00ff,7,229,100,5,0.32,0.11,0.1,0.15,0.22,0.12
5711348e42f02,19,Female,32,no,objTwoColors,#7f00ff,348,247,139,4,0.35,0.11,0.11,0.15,0.27,0.16
57113d4d93c81,18,Female,32,no,objTwoColors,#7f00ff,300,251,309,4,0.68,0.01,0.13,0.26,0.35,0.32
5711703bd85fc,18,Female,32,no,objTwoColors,#7f00ff,323,237,193,5,0.54,0.02,0.11,0.22,0.34,0.27
5712a254e00f7,18,Female,18,no,objTwoColors,#7f00ff,0,289,136,3,0.24,0.28,0.07,0.08,0.05,0.05
5734d89183dab,19,Female,29,no,objTwoColors,#7f00ff,233,318,115,4,0.78,0.01,0.1,0.23,0.34,0.28
5734e397122ce,19,Male,6,no,objTwoColors,#7f00ff,330,355,128,1,0.55,0.42,0.01,0.02,0.05,0.06
5736048bb110b,19,Male,32,no,objTwoColors,#7f00ff,268,266,205,5,0.8,0.03,0.18,0.33,0.38,0.38
573613f4689a3,18,Male,7,no,objTwoColors,#7f00ff,269,270,306,3,0.79,0.02,0.38,0.32,0.37,0.37
573634984323e,19,Male,32,no,objTwoColors,#7f00ff,3,239,190,4,0.32,0.13,0.12,0.14,0.23,0.12
57366c199283c,19,Male,32,no,objTwoColors,#7f00ff,330,267,104,1,0.45,0.11,0.08,0.19,0.23,0.21
57427cf6bad0c,19,Female,32,no,objTwoColors,#7f00ff,201,334,316,3,0.77,0.03,0.03,0.21,0.27,0.19
574511e99b6d9,19,Female,32,no,objTwoColors,#7f00ff,213,2,108,2,0.9,0.06,0.04,0.15,0.21,0.11
5745350dc1e22,19,Female,31,no,objTwoColors,#7f00ff,226,331,168,4,0.82,0.02,0.07,0.21,0.31,0.23
5745c1c07cc0c,18,Other,31,no,objTwoColors,#7f00ff,220,353,362,4,0.91,0.06,0.06,0.15,0.23,0.13
5745f6f039dc9,15,Male,33,no,objTwoColors,#7f00ff,237,0,638,1,0.95,0.11,0.12,0.14,0.23,0.12
