id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710d28fec2d1,30,Male,32,no,objTwoColors,#7f00ff,0,272,205,1,0.28,0.22,0.09,0.12,0.1,0.08
5711106ab212a,33,Male,32,no,objTwoColors,#7f00ff,9,210,70,4,0.25,0.07,0.02,0.16,0.21,0.12
5711148c11035,35,Male,22,no,objTwoColors,#7f00ff,307,209,133,2,0.55,0.05,0.03,0.25,0.34,0.28
57112e1a2bbbb,32,Male,16,no,objTwoColors,#7f00ff,224,225,128,2,0.84,0.06,0.15,0.36,0.41,0.41
571153ca15566,32,Male,32,no,objTwoColors,#7f00ff,236,300,267,4,0.78,0.02,0.13,0.26,0.36,0.33
571252e6d2e70,31,Female,32,no,objTwoColors,#7f00ff,228,319,402,5,0.78,0,0.09,0.22,0.34,0.27
57153eb9b4bed,35,Female,31,no,objTwoColors,#7f00ff,0,265,97,5,0.29,0.19,0.1,0.12,0.13,0.1
57190633f233f,30,Male,32,no,objTwoColors,#7f00ff,241,300,197,2,0.78,0.02,0.14,0.26,0.36,0.33
573a059da0efd,31,Female,32,yes,objTwoColors,#B100FF,0,0,0,1,0.39,0.49,0.12,0.04,0.12,0.13
573c783748e8b,37,Female,32,yes,objTwoColors,#B100FF,351,212,383,3,0.26,0.03,0.03,0.16,0.23,0.13
5740a8b59d448,31,Female,32,yes,objTwoColors,#B100FF,4,214,115,4,0.25,0.07,0.04,0.15,0.21,0.11
5740b686127bb,32,Male,32,yes,objTwoColors,#B100FF,211,328,172,4,0.77,0.02,0.01,0.21,0.3,0.22
5745b5cbe3caa,34,Female,32,no,objTwoColors,#7f00ff,323,219,215,3,0.49,0.01,0.05,0.22,0.32,0.25
574859b8f3379,30,Male,32,yes,objTwoColors,#B100FF,303,256,755,3,0.66,0.02,0.12,0.25,0.33,0.31
