id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
57112ebc85ba1,objTwoColors,#FF8000,321,55,87,5,0.72,0.11,0.14,0.07,0.14,0.08,0.25,0.26,0.24,0.25,0.26
571130c5cd6e9,objTwoColors,#FF8000,21,49,50,5,0.66,0.03,0.14,0.14,0.18,0.15,0.12,0.11,0.08,0.1,0.11
571130d934bda,objTwoColors,#FF8000,29,29,56,5,0.6,0.01,0.03,0.16,0.21,0.17,0.28,0.28,0.24,0.27,0.28
5711348e42f02,objTwoColors,#FF8000,356,63,239,4,0.75,0,0.14,0.13,0.19,0.14,0.02,0.03,0.06,0.04,0.03
5711389736065,objTwoColors,#FF8000,57,5,163,5,0.46,0.01,0.14,0.14,0.19,0.15,0.54,0.55,0.5,0.54,0.55
57113d4d93c81,objTwoColors,#FF8000,57,6,40,5,0.46,0.01,0.14,0.14,0.19,0.15,0.54,0.55,0.5,0.54,0.55
57113d9cc42b5,objTwoColors,#FF8000,31,0,82,5,0.61,0.08,0.14,0.19,0.26,0.21,0.41,0.42,0.37,0.4,0.42
57113de4aed1a,objTwoColors,#FF8000,9,41,30,4,0.71,0.03,0.14,0.16,0.22,0.18,0.11,0.1,0.07,0.09,0.1
57113e3362c9f,objTwoColors,#FF8000,0,0,0,1,0.74,0.12,0.09,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
57113e6176346,objTwoColors,#FF8000,0,42,29,5,0.72,0.06,0.13,0.16,0.23,0.18,0.08,0.09,0.06,0.08,0.09
571153ca15566,objTwoColors,#FF8000,11,58,63,3,0.73,0.03,0.14,0.14,0.18,0.14,0.03,0.04,0.04,0.04,0.04
571154184c9bd,objTwoColors,#FF8000,22,0,1,5,0.67,0.1,0.14,0.21,0.27,0.23,0.35,0.36,0.31,0.34,0.36
5711641931da5,objTwoColors,#FF8000,64,12,451,5,0.43,0.05,0.14,0.13,0.18,0.14,0.55,0.55,0.51,0.54,0.55
571165992a5c1,objTwoColors,#FF8000,22,59,1124,4,0.68,0.06,0.14,0.13,0.17,0.14,0.07,0.09,0.09,0.1,0.09
57116b9b879bf,objTwoColors,#FF8000,38,22,163,3,0.55,0,0.14,0.15,0.2,0.17,0.38,0.38,0.33,0.37,0.38
5711703bd85fc,objTwoColors,#FF8000,3,58,53,5,0.75,0,0.14,0.14,0.19,0.15,0.01,0.02,0.04,0.02,0.02
5711800f2c5f3,objTwoColors,#FF8000,1,56,39,4,0.74,0.01,0.14,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
571183866d73f,objTwoColors,#FF8000,4,59,44,5,0.75,0.01,0.14,0.14,0.19,0.15,0,0.02,0.04,0.03,0.02
57119224388ef,objTwoColors,#FF8000,48,6,128,5,0.5,0.02,0.14,0.15,0.21,0.16,0.5,0.5,0.46,0.5,0.5
5711ace2ee7ed,objTwoColors,#FF8000,55,5,258,5,0.47,0,0.14,0.14,0.2,0.15,0.53,0.54,0.49,0.53,0.54
5711cbde51bb0,objTwoColors,#FF8000,64,10,275,3,0.43,0.04,0.14,0.13,0.18,0.14,0.56,0.56,0.52,0.55,0.56
5711e54c50f6b,objTwoColors,#FF8000,33,0,283,5,0.6,0.08,0.14,0.19,0.25,0.2,0.42,0.43,0.38,0.41,0.43
571210e10d88b,objTwoColors,#FF8000,32,0,161,5,0.61,0.08,0.14,0.19,0.26,0.21,0.42,0.42,0.38,0.4,0.42
571214121717c,objTwoColors,#FF8000,57,7,254,5,0.46,0.01,0.14,0.14,0.19,0.15,0.54,0.55,0.5,0.53,0.55
5712197fbccd5,objTwoColors,#FF8000,1,48,168,4,0.73,0.03,0.14,0.16,0.22,0.17,0.05,0.06,0.03,0.05,0.06
57121e2a63601,objTwoColors,#FF8000,0,0,0,2,0.74,0.12,0.09,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
57123bec83e8e,objTwoColors,#FF8000,7,0,54,4,0.73,0.12,0.15,0.23,0.29,0.26,0.29,0.3,0.26,0.28,0.3
57123e4050550,objTwoColors,#FF8000,4,59,449,4,0.75,0.01,0.14,0.14,0.19,0.15,0,0.02,0.04,0.03,0.02
571245f0af12d,objTwoColors,#FF8000,21,56,212,3,0.67,0.05,0.14,0.13,0.17,0.14,0.08,0.08,0.08,0.08,0.08
571247f66fb51,objTwoColors,#FF8000,4,56,164,3,0.74,0,0.14,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
571252e6d2e70,objTwoColors,#FF8000,5,55,50,5,0.74,0,0.14,0.14,0.2,0.15,0.03,0.03,0.03,0.02,0.03
571260c120253,objTwoColors,#FF8000,9,54,38,3,0.73,0.01,0.14,0.14,0.19,0.15,0.04,0.04,0.02,0.03,0.04
57126595532de,objTwoColors,#FF8000,55,11,40,2,0.47,0.02,0.14,0.14,0.19,0.15,0.52,0.52,0.48,0.51,0.52
57127bcfaafb0,objTwoColors,#FF8000,4,55,82,5,0.74,0,0.14,0.14,0.2,0.15,0.02,0.03,0.03,0.02,0.03
57127cb3ab1fe,objTwoColors,#FF8000,31,0,31,5,0.61,0.08,0.14,0.19,0.26,0.21,0.41,0.42,0.37,0.4,0.42
5712a254e00f7,objTwoColors,#FF8000,0,49,33,3,0.73,0.03,0.14,0.16,0.22,0.16,0.05,0.05,0.03,0.04,0.05
5712a47f6f8a6,objTwoColors,#FF8000,59,67,9,2,0.48,0.17,0.14,0.12,0.17,0.14,0.31,0.31,0.33,0.32,0.31
5712bd55a8a13,objTwoColors,#FF8000,10,59,61,3,0.73,0.03,0.14,0.13,0.18,0.14,0.02,0.03,0.04,0.04,0.03
5712c2b021f58,objTwoColors,#FF8000,58,3,81,5,0.46,0,0.14,0.14,0.19,0.15,0.55,0.55,0.51,0.54,0.55
5712c57f97f25,objTwoColors,#FF8000,3,49,34,4,0.73,0.03,0.14,0.15,0.21,0.16,0.05,0.05,0.03,0.04,0.05
5713923c1bbc7,objTwoColors,#FF8000,18,42,463,3,0.67,0,0.14,0.15,0.2,0.16,0.13,0.14,0.09,0.13,0.14
5713b10383207,objTwoColors,#FF8000,4,0,424,3,0.74,0.12,0.09,0.24,0.29,0.26,0.28,0.29,0.26,0.27,0.29
5713b961c216a,objTwoColors,#FF8000,0,0,0,3,0.74,0.12,0.09,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
5713dd915ca28,objTwoColors,#FF8000,29,0,217,3,0.63,0.09,0.14,0.19,0.26,0.21,0.4,0.4,0.36,0.38,0.4
