id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57123bec83e8e,objTwoColors,#FFFF00,1,25,712,3,0.32,0.25,0.22,0.16,0.23,0.19
57123e4050550,objTwoColors,#FFFF00,48,0,553,3,0.64,0.19,0.2,0.09,0.17,0.11
571247f66fb51,objTwoColors,#FFFF00,7,130,180,5,0.03,0.03,0.22,0.03,0.04,0.01
571252e6d2e70,objTwoColors,#FFFF00,42,0,137,5,0.61,0.21,0.2,0.11,0.19,0.13
571260c120253,objTwoColors,#FFFF00,56,59,95,1,0.4,0.01,0.18,0.03,0.01,0.03
5712649f2fada,objTwoColors,#FFFF00,56,0,149,4,0.68,0.17,0.2,0.07,0.14,0.09
57127bcfaafb0,objTwoColors,#FFFF00,56,58,141,5,0.41,0.01,0.18,0.03,0.01,0.03
57127cb3ab1fe,objTwoColors,#FFFF00,61,0,220,5,0.7,0.15,0.2,0.06,0.13,0.07
5712bd55a8a13,objTwoColors,#FFFF00,0,59,96,5,0.13,0.16,0.2,0.06,0.13,0.08
5712c2b021f58,objTwoColors,#FFFF00,0,59,319,5,0.13,0.16,0.2,0.06,0.13,0.08
5712c57f97f25,objTwoColors,#FFFF00,59,59,160,4,0.41,0,0.06,0.03,0.02,0.04
5713923c1bbc7,objTwoColors,#FFFF00,3,38,177,5,0.24,0.21,0.21,0.12,0.19,0.15
5713aa57bebec,objTwoColors,#FFFF00,0,67,377,3,0.1,0.13,0.2,0.06,0.12,0.06
5713ad43312ab,objTwoColors,#FFFF00,357,0,437,3,0.41,0.28,0.24,0.2,0.26,0.24
5713b10383207,objTwoColors,#FFFF00,224,106,307,4,0.55,0.19,0.25,0.21,0.22,0.24
5713b961c216a,objTwoColors,#FFFF00,0,0,0,5,0.41,0.28,0.22,0.2,0.26,0.24
5713dd915ca28,objTwoColors,#FFFF00,0,43,88,1,0.21,0.21,0.2,0.1,0.19,0.13
5713fc80c942a,objTwoColors,#FFFF00,58,59,308,5,0.4,0,0.18,0.03,0.01,0.04
571410751e7b0,objTwoColors,#FFFF00,348,90,192,2,0.05,0.1,0.21,0.05,0.06,0.03
57142079d871e,objTwoColors,#FFFF00,50,129,340,4,0.26,0.11,0.19,0.05,0.1,0.1
5714c6c26c2f6,objTwoColors,#FFFF00,58,55,146,5,0.42,0.01,0.18,0.03,0.01,0.03
5716e9900f6ea,objTwoColors,#FFFF00,119,359,312,3,0.84,0,0.22,0.03,0.02,0.01
57190633f233f,objTwoColors,#FFFF00,8,221,276,3,0.52,0.38,0.27,0.14,0.3,0.25
572106a31c230,objTwoColors,#FFFF00,27,95,377,3,0.11,0.01,0.2,0.02,0.04,0.03
5727633cd6511,objTwoColors,#FFFF00,0,59,432,5,0.13,0.16,0.2,0.06,0.13,0.08
5727f6d19e901,objTwoColors,#FFFF00,0,38,301,3,0.24,0.22,0.21,0.12,0.2,0.15
572baa7f9493c,objTwoColors,#FFFF00,64,0,395,3,0.71,0.14,0.2,0.06,0.12,0.07
5734918f46823,objTwoColors,#FFFF00,1,0,41,3,0.41,0.28,0.22,0.2,0.26,0.24
5734aa4c927a8,objTwoColors,#FFFF00,56,59,605,1,0.4,0.01,0.18,0.03,0.01,0.03
5734d89183dab,objTwoColors,#FFFF00,58,55,88,4,0.42,0.01,0.18,0.03,0.01,0.03
5734e848ad81a,objTwoColors,#FFFF00,57,57,125,5,0.41,0.01,0.05,0.03,0.01,0.03
5735d3455a84c,objTwoColors,#FFFF00,52,54,74,5,0.4,0.03,0.18,0.03,0.01,0.02
5736048bb110b,objTwoColors,#FFFF00,59,52,133,5,0.44,0.02,0.18,0.03,0.01,0.03
573634984323e,objTwoColors,#FFFF00,59,59,699,5,0.41,0,0.06,0.03,0.02,0.04
573664e1a4a96,objTwoColors,#FFFF00,57,57,216,1,0.41,0.01,0.05,0.03,0.01,0.03
57366c199283c,objTwoColors,#FFFF00,115,233,126,5,0.98,0.24,0.27,0.21,0.26,0.26
5738cf3d97a58,objTwoColors,#FFFF00,3,120,272,4,0.02,0.01,0.22,0.03,0.03,0.01
57427cf6bad0c,objTwoColors,#FFFF00,62,0,188,2,0.7,0.15,0.2,0.06,0.13,0.07
574297edae49c,objTwoColors,#FFFF00,2,128,454,1,0.02,0.02,0.22,0.03,0.03,0.01
574511e99b6d9,objTwoColors,#FFFF00,29,0,49,3,0.53,0.24,0.22,0.15,0.22,0.18
57451c3b38192,objTwoColors,#FFFF00,0,59,53,5,0.13,0.16,0.2,0.06,0.13,0.08
5745350dc1e22,objTwoColors,#FFFF00,57,56,316,5,0.42,0.01,0.18,0.03,0.01,0.03
5745500f6e643,objTwoColors,#FFFF00,48,0,263,3,0.64,0.19,0.2,0.09,0.17,0.11
5745b5cbe3caa,objTwoColors,#FFFF00,56,57,438,3,0.41,0.01,0.18,0.03,0.01,0.03
5745c1c07cc0c,objTwoColors,#FFFF00,56,59,106,5,0.4,0.01,0.18,0.03,0.01,0.03
5745f6f039dc9,objTwoColors,#FFFF00,69,350,40,1,0.72,0.16,0.2,0.06,0.11,0.06
