id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#FFFF00,57,58,406,5,Yellow   ,Yellow   
57113b7f16c4b,objTwoColors,#FFFF00,236,131,547,3,Purple   ,LI-Green 
