Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.43,0.46,0.04,0.5,0.28,0.2,0.43,0.42,0.04,0.43,0.44,0.06,0.43,0.44,0.06
Online Users (Regular),0.49,0.43,0.1,0.51,0.29,0.19,0.47,0.42,0.04,0.48,0.43,0.09,0.48,0.43,0.06
Online Users (Uncalibrated),0.57,0.39,0.19,0.55,0.29,0.19,0.55,0.39,0.12,0.57,0.39,0.17,0.56,0.39,0.14
