id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
5713aa57bebec,objTwoColors,#0080FF,0,192,130,5,0.66,0.09,0.29,0.24,0.19,0.2,0.58,0.6
5713acb331c3c,objTwoColors,#0080FF,148,169,2,1,0.49,0.28,0.25,0.2,0.28,0.23,0.32,0.4
5713b10383207,objTwoColors,#0080FF,150,57,124,4,0.67,0.43,0.26,0.3,0.37,0.31,0.42,0.59
5713dd915ca28,objTwoColors,#0080FF,0,209,30,1,0.77,0.09,0.33,0.24,0.15,0.18,0.59,0.5
5713fc80c942a,objTwoColors,#0080FF,192,226,153,5,0.5,0.03,0.33,0.05,0,0.07,0.56,0.38
571410751e7b0,objTwoColors,#0080FF,57,161,76,3,0.58,0.43,0.25,0.28,0.35,0.29,0.42,0.51
5714d563c6e52,objTwoColors,#0080FF,0,232,359,4,0.86,0.12,0.42,0.25,0.14,0.19,0.64,0.46
57153eb9b4bed,objTwoColors,#0080FF,0,262,64,5,0.85,0.18,0.42,0.26,0.22,0.2,0.61,0.44
5715f69931d4c,objTwoColors,#0080FF,223,0,214,5,0.42,0.1,0.39,0.25,0.14,0.18,0.85,1.04
5716d167b95e4,objTwoColors,#0080FF,224,192,740,3,0.13,0.02,0.32,0.05,0.01,0.07,0.69,0.71
5716e9900f6ea,objTwoColors,#0080FF,182,317,153,3,0.49,0.12,0.27,0.17,0.07,0.08,0.34,0.55
57190633f233f,objTwoColors,#0080FF,179,332,486,2,0.57,0.12,0.26,0.19,0.12,0.14,0.45,0.65
5727e49793f7b,objTwoColors,#0080FF,0,183,93,5,0.61,0.09,0.28,0.26,0.21,0.22,0.6,0.65
572a791f6405b,objTwoColors,#0080FF,13,0,402,1,0.93,0.47,0.34,0.41,0.47,0.41,0.71,0.9
5734918f46823,objTwoColors,#0080FF,12,0,108,3,0.93,0.47,0.34,0.41,0.47,0.41,0.72,0.9
5734d81ba001b,objTwoColors,#0080FF,318,278,358,1,0.56,0.12,0.38,0.2,0.14,0.1,0.53,0.44
5734d89183dab,objTwoColors,#0080FF,242,189,243,4,0.11,0.06,0.35,0.05,0.03,0.08,0.73,0.76
5735d3455a84c,objTwoColors,#0080FF,228,198,199,4,0.16,0.05,0.35,0.04,0.02,0.09,0.7,0.69
5736048bb110b,objTwoColors,#0080FF,212,205,91,5,0.27,0.02,0.32,0.05,0.01,0.08,0.64,0.58
573613f4689a3,objTwoColors,#0080FF,210,209,518,3,0.31,0.03,0.33,0.05,0,0.09,0.63,0.55
573634984323e,objTwoColors,#0080FF,207,207,338,5,0.32,0.01,0.08,0.05,0.02,0.07,0.61,0.54
57366c199283c,objTwoColors,#0080FF,300,258,199,3,0.5,0.09,0.43,0.14,0.09,0.11,0.64,0.47
5738cf3d97a58,objTwoColors,#0080FF,230,0,107,3,0.4,0.11,0.41,0.25,0.14,0.19,0.87,1.06
57427cf6bad0c,objTwoColors,#0080FF,232,0,171,3,0.39,0.12,0.42,0.25,0.14,0.19,0.87,1.07
574297edae49c,objTwoColors,#0080FF,204,230,146,5,0.44,0.07,0.38,0.04,0.05,0.11,0.64,0.47
5744dce84ffa5,objTwoColors,#0080FF,234,0,357,3,0.39,0.12,0.43,0.25,0.14,0.19,0.88,1.07
574511e99b6d9,objTwoColors,#0080FF,230,0,111,5,0.4,0.11,0.41,0.25,0.14,0.19,0.87,1.06
57451c3b38192,objTwoColors,#0080FF,0,207,54,5,0.76,0.09,0.33,0.24,0.16,0.18,0.58,0.51
5745350dc1e22,objTwoColors,#0080FF,230,0,47,5,0.4,0.11,0.41,0.25,0.14,0.19,0.87,1.06
5745500f6e643,objTwoColors,#0080FF,0,189,65,4,0.65,0.09,0.28,0.25,0.2,0.21,0.59,0.62
57459c393bbd0,objTwoColors,#0080FF,213,208,116,4,0.28,0.03,0.33,0.05,0,0.09,0.65,0.56
5745b5cbe3caa,objTwoColors,#0080FF,211,0,1565,3,0.47,0.09,0.34,0.24,0.15,0.18,0.79,0.98
5745c1c07cc0c,objTwoColors,#0080FF,205,212,165,4,0.36,0.02,0.32,0.05,0.01,0.08,0.6,0.5
5745f6f039dc9,objTwoColors,#0080FF,0,0,0,4,0.94,0.47,0.44,0.42,0.47,0.42,0.74,0.93
