id,typeOfQuestion,first_color,second_color,third_color,clicks,rating
5710cbc5f0ea4,twoColorsObj,#0000FF,#FF00FF,#7f00ff,146,5
57113b7f16c4b,twoColorsObj,#0000FF,#FF00FF,#ca0088,279,4
