Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.5,0.29,0.04,0.55,0.26,0.07,0.51,0.33,0.14,0.5,0.31,0.16,0.52,0.31,0.13
Online Users (Regular),0.48,0.29,0.04,0.55,0.25,0.07,0.5,0.33,0.13,0.48,0.29,0.15,0.5,0.3,0.12
Online Users (Uncalibrated),0.36,0.18,0.16,0.62,0.25,0.05,0.43,0.29,0.09,0.38,0.21,0.15,0.41,0.22,0.1
