id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
57366c199283c,objTwoColors,#FF007F,5,169,123,3,0.76,0.35,0.11,0.05,0.02,0.09,0.25,0.25,0.31,0.25,0.25,0.53,0.53,0.37,0.54
5738cf3d97a58,objTwoColors,#FF007F,3,0,1,4,0.83,0.16,0.05,0.24,0.29,0.25,0.33,0.32,0.15,0.32,0.32,0.6,0.59,0.39,0.57
57410611290e3,objTwoColors,#FF007F,357,0,121,3,0.83,0.16,0.07,0.24,0.29,0.25,0.33,0.32,0.15,0.32,0.32,0.6,0.59,0.39,0.57
57427cf6bad0c,objTwoColors,#FF007F,19,0,356,1,0.81,0.15,0.07,0.21,0.28,0.23,0.39,0.37,0.19,0.37,0.37,0.59,0.58,0.38,0.56
574297edae49c,objTwoColors,#FF007F,333,327,163,5,0.69,0,0.08,0.17,0.19,0.13,0.28,0.27,0.17,0.27,0.27,0.46,0.45,0.26,0.44
5744dce84ffa5,objTwoColors,#FF007F,353,0,161,2,0.82,0.15,0.07,0.24,0.29,0.25,0.34,0.33,0.15,0.33,0.33,0.59,0.58,0.38,0.56
574511e99b6d9,objTwoColors,#FF007F,9,231,65,4,1.06,0.2,0.1,0.08,0.17,0.11,0.25,0.26,0.42,0.26,0.26,0.83,0.83,0.66,0.83
57451c3b38192,objTwoColors,#FF007F,0,333,101,5,0.81,0.12,0.08,0.2,0.26,0.21,0.19,0.19,0.02,0.19,0.19,0.59,0.57,0.38,0.56
5745500f6e643,objTwoColors,#FF007F,342,0,206,4,0.76,0.14,0.07,0.22,0.28,0.23,0.4,0.38,0.2,0.39,0.38,0.54,0.53,0.33,0.51
57459c393bbd0,objTwoColors,#FF007F,10,208,338,3,0.96,0.26,0.08,0.06,0.09,0.04,0.2,0.21,0.36,0.21,0.21,0.74,0.73,0.56,0.73
5745b5cbe3caa,objTwoColors,#FF007F,330,341,294,3,0.65,0.04,0.08,0.18,0.21,0.16,0.41,0.41,0.22,0.41,0.41,0.43,0.42,0.25,0.41
5745c1c07cc0c,objTwoColors,#FF007F,189,352,253,3,0.49,0.34,0.11,0.03,0.07,0.02,0.74,0.74,0.55,0.74,0.74,0.45,0.45,0.55,0.44
5745f6f039dc9,objTwoColors,#FF007F,0,0,0,4,0.83,0.16,0.05,0.24,0.3,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.59,0.39,0.57
