id,typeOfQuestion,first_color,second_color,third_color,clicks,page_time,rating,resets
5710cbc5f0ea4,objTwoColors,#FFFF00,57,58,406,12,5,0
57113b7f16c4b,objTwoColors,#FFFF00,236,131,547,130,3,0
