id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
5712bd55a8a13,objTwoColors,#00FF80,201,58,219,3,0.16,0.09,0.12,0.04,0.08,0.08,0.41,0.42,0.36,0.42,0.42,0.62,0.63,0.64,0.63,0.63,0.69,0.69
5712c1176d5f8,objTwoColors,#00FF80,236,114,259,4,0.16,0.15,0.08,0.11,0.12,0.11,0.7,0.72,0.66,0.73,0.72,0.79,0.8,0.83,0.8,0.8,0.8,0.8
5712c2b021f58,objTwoColors,#00FF80,186,59,108,5,0.24,0.1,0.15,0.06,0.12,0.12,0.31,0.33,0.27,0.34,0.33,0.53,0.54,0.55,0.54,0.54,0.65,0.65
5712c57f97f25,objTwoColors,#00FF80,59,73,340,4,0.56,0.12,0.13,0.12,0.17,0.2,0.18,0.2,0.21,0.21,0.2,0.34,0.35,0.45,0.35,0.35,0.49,0.49
5713b10383207,objTwoColors,#00FF80,211,57,99,5,0.09,0.08,0.1,0.03,0.06,0.06,0.47,0.48,0.41,0.48,0.48,0.68,0.69,0.71,0.69,0.69,0.72,0.73
5713ce8c57c5e,objTwoColors,#00FF80,209,58,174,5,0.11,0.08,0.11,0.03,0.07,0.06,0.46,0.47,0.41,0.47,0.47,0.67,0.68,0.69,0.68,0.68,0.71,0.72
5713e73998df9,objTwoColors,#00FF80,149,0,132,5,0.74,0.1,0.09,0.08,0.09,0.15,0.37,0.38,0.28,0.36,0.38,0.48,0.49,0.46,0.49,0.49,0.8,0.8
5713fc80c942a,objTwoColors,#00FF80,184,59,175,5,0.25,0.1,0.15,0.06,0.12,0.12,0.3,0.32,0.26,0.33,0.32,0.52,0.53,0.54,0.53,0.53,0.64,0.65
5714d563c6e52,objTwoColors,#00FF80,0,150,921,1,0.7,0.1,0.1,0.08,0.08,0.14,0.56,0.58,0.57,0.59,0.58,0.55,0.56,0.64,0.56,0.56,0.14,0.15
57153d9a56ce0,objTwoColors,#00FF80,0,164,47,5,0.74,0.09,0.11,0.07,0.03,0.11,0.6,0.62,0.6,0.63,0.62,0.46,0.47,0.55,0.47,0.47,0.05,0.06
