Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.5,0.43,0.06,0.46,0.35,0.13,0.47,0.42,0.06,0.49,0.42,0.06,0.48,0.43,0.06
Online Users (Regular),0.54,0.41,0.1,0.45,0.35,0.13,0.5,0.42,0.07,0.52,0.41,0.09,0.51,0.43,0.08
Online Users (Uncalibrated),0.59,0.37,0.17,0.49,0.34,0.14,0.53,0.39,0.11,0.56,0.38,0.14,0.55,0.39,0.13
Users aged Less Than 20 Years,0.56,0.4,0.13,0.51,0.35,0.15,0.51,0.41,0.09,0.54,0.4,0.11,0.53,0.42,0.1
Users aged Between 20 and 29 Years,0.55,0.4,0.12,0.47,0.35,0.13,0.51,0.41,0.09,0.54,0.4,0.11,0.53,0.42,0.1
Users aged Between 30 and 39 Years,0.53,0.4,0.11,0.46,0.34,0.14,0.49,0.4,0.08,0.51,0.4,0.09,0.5,0.41,0.09
Users aged Between 40 and 49 Years,0.56,0.39,0.13,0.49,0.35,0.13,0.52,0.4,0.11,0.55,0.4,0.12,0.54,0.41,0.12
Users aged Between 50 and 59 Years,0.55,0.4,0.12,0.47,0.35,0.13,0.51,0.41,0.09,0.54,0.4,0.11,0.53,0.42,0.1
Users aged Above 60 Years,0.55,0.4,0.13,0.48,0.36,0.13,0.52,0.4,0.1,0.55,0.4,0.12,0.54,0.41,0.12
Female Users,0.55,0.4,0.12,0.48,0.35,0.13,0.51,0.41,0.09,0.54,0.4,0.11,0.52,0.41,0.1
Male Users,0.54,0.41,0.11,0.47,0.35,0.13,0.51,0.41,0.09,0.53,0.4,0.1,0.52,0.42,0.1
Other Gender Users,0.57,0.39,0.14,0.55,0.35,0.16,0.52,0.41,0.1,0.56,0.39,0.13,0.54,0.41,0.12
