id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112b9e10661,64,Female,34,no,objTwoColors,#FF8000,51,19,163,2,0.46,0.03,0.16,0.03,0.05,0.01
571165992a5c1,67,Female,32,no,objTwoColors,#FF8000,21,69,155,2,0.11,0.09,0.16,0.06,0.1,0.05
57153d9a56ce0,62,Female,9,no,objTwoColors,#FF8000,0,29,14,5,0.16,0.09,0.17,0.07,0.07,0.1
5740b0f8e9734,62,Male,33,yes,objTwoColors,#FF7200,27,0,40,4,0.38,0.09,0.17,0.08,0.08,0.11
5740bda9be3dc,83,Female,32,yes,objTwoColors,#FF7200,1,57,42,5,0.01,0.01,0.16,0.03,0.02,0.01
