id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
57113a5534205,objTwoColors,#FF8000,4,54,123,5,Red,Green,0.22,0.12,0.16,0.08,0.11,0.1,0.59,0.55
571163013744e,objTwoColors,#FF8000,342,55,238,5,Red,Green,0.21,0.18,0.19,0.08,0.11,0.09,0.57,0.53
571289ef76e18,objTwoColors,#FF8000,52,352,159,5,Green,Red,0.32,0.16,0.17,0.09,0.12,0.1,0.4,0.36
57149713464b1,objTwoColors,#FF8000,0,0,0,1,Red,Red,0.48,0.23,0.17,0.22,0.23,0.25,0.66,0.63
