id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
57127bcfaafb0,objTwoColors,#FF8000,9,52,81,5,Red,Green,0.22,0.11,0.15,0.08,0.1,0.1,0.58,0.54
5712bd55a8a13,objTwoColors,#FF8000,7,59,172,3,Red,Green,0.22,0.09,0.16,0.07,0.08,0.08,0.59,0.56
5712c2b021f58,objTwoColors,#FF8000,57,9,48,5,Green,Red,0.33,0.09,0.19,0.07,0.09,0.08,0.39,0.35
5712c57f97f25,objTwoColors,#FF8000,5,53,69,5,Red,Green,0.23,0.12,0.16,0.08,0.11,0.1,0.59,0.55
5713923c1bbc7,objTwoColors,#FF8000,56,12,196,2,Green,Red,0.32,0.09,0.18,0.07,0.08,0.08,0.39,0.35
5713b10383207,objTwoColors,#FF8000,8,58,79,4,Red,Green,0.21,0.09,0.16,0.07,0.08,0.08,0.58,0.55
5713fc80c942a,objTwoColors,#FF8000,58,1,50,5,Green,Red,0.36,0.12,0.19,0.08,0.1,0.09,0.39,0.36
5716e9900f6ea,objTwoColors,#FF8000,52,354,508,3,Green,Red,0.32,0.16,0.17,0.09,0.12,0.1,0.41,0.37
57190633f233f,objTwoColors,#FF8000,57,353,169,4,Green,Red,0.34,0.14,0.19,0.08,0.11,0.09,0.39,0.35
572106a31c230,objTwoColors,#FF8000,5,53,117,3,Red,Green,0.23,0.12,0.16,0.08,0.11,0.1,0.59,0.55
57277ba3c5a5c,objTwoColors,#FF8000,5,58,157,5,Red,Green,0.22,0.1,0.16,0.08,0.09,0.08,0.59,0.56
5727d86840dc8,objTwoColors,#FF8000,7,59,59,5,Red,Green,0.22,0.09,0.16,0.07,0.08,0.08,0.59,0.56
572934019041e,objTwoColors,#FF8000,18,48,264,5,Red,Yellow,0.21,0.09,0.13,0.08,0.09,0.1,0.53,0.5
5734918f46823,objTwoColors,#FF8000,58,14,44,4,Green,Red,0.33,0.08,0.19,0.07,0.07,0.07,0.37,0.34
5734d89183dab,objTwoColors,#FF8000,48,18,59,4,Yellow,Red,0.26,0.09,0.16,0.08,0.09,0.1,0.4,0.37
