id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
57113e3362c9f,24,Male,6,no,objTwoColors,#FF8000,342,55,592,3,Red,Green,0.21,0.18,0.19,0.08,0.11,0.09,0.57,0.53
571151812791a,20,Male,32,yes,objTwoColors,#FF8000,2,57,247,3,Red,Green,0.22,0.12,0.16,0.08,0.1,0.09,0.59,0.56
571153ca15566,32,Male,32,no,objTwoColors,#FF8000,59,8,63,3,Green,Red,0.35,0.09,0.19,0.07,0.08,0.08,0.38,0.35
57116b9b879bf,20,Male,32,no,objTwoColors,#FF8000,8,57,158,4,Red,Green,0.21,0.1,0.16,0.07,0.09,0.09,0.58,0.55
57119224388ef,24,Male,31,no,objTwoColors,#FF8000,59,357,0,5,Green,Red,0.36,0.12,0.19,0.08,0.1,0.08,0.39,0.36
5711ace2ee7ed,24,Male,32,no,objTwoColors,#FF8000,59,7,66,5,Green,Red,0.35,0.09,0.19,0.07,0.08,0.08,0.38,0.35
5711cbde51bb0,24,Male,31,no,objTwoColors,#FF8000,351,59,125,4,Red,Green,0.22,0.14,0.17,0.08,0.1,0.08,0.59,0.56
571210e10d88b,23,Male,19,no,objTwoColors,#FF8000,27,0,105,5,Red,Red,0.37,0.2,0.12,0.17,0.2,0.19,0.55,0.52
571214121717c,22,Male,32,no,objTwoColors,#FF8000,60,2,85,5,Green,Red,0.37,0.11,0.2,0.08,0.09,0.08,0.39,0.35
57121e2a63601,21,Male,31,no,objTwoColors,#FF8000,0,0,0,1,Red,Red,0.48,0.23,0.17,0.22,0.23,0.25,0.66,0.63
57122801e1da9,23,Male,17,no,objTwoColors,#FF8000,57,15,106,5,Green,Red,0.31,0.08,0.19,0.06,0.07,0.08,0.38,0.34
57123bec83e8e,21,Male,32,no,objTwoColors,#FF8000,59,6,289,5,Green,Red,0.35,0.1,0.19,0.08,0.09,0.08,0.39,0.36
571247f66fb51,27,Male,32,no,objTwoColors,#FF8000,7,53,228,4,Red,Green,0.23,0.11,0.16,0.08,0.1,0.1,0.59,0.55
571260c120253,22,Male,32,no,objTwoColors,#FF8000,9,59,60,2,Red,Green,0.21,0.09,0.15,0.07,0.08,0.08,0.58,0.55
5712d16eb8094,22,Male,5,no,objTwoColors,#FF8000,8,0,176,5,Red,Red,0.46,0.23,0.16,0.21,0.23,0.24,0.64,0.61
5713b10383207,40,Male,32,no,objTwoColors,#FF8000,8,58,79,4,Red,Green,0.21,0.09,0.16,0.07,0.08,0.08,0.58,0.55
57190633f233f,30,Male,32,no,objTwoColors,#FF8000,57,353,169,4,Green,Red,0.34,0.14,0.19,0.08,0.11,0.09,0.39,0.35
572106a31c230,24,Male,16,no,objTwoColors,#FF8000,5,53,117,3,Red,Green,0.23,0.12,0.16,0.08,0.11,0.1,0.59,0.55
572767049ccfa,24,Male,32,yes,objTwoColors,#FF7200,9,58,71,4,Red,Green,0.21,0.09,0.15,0.07,0.08,0.08,0.58,0.55
57277ba3c5a5c,20,Male,8,no,objTwoColors,#FF8000,5,58,157,5,Red,Green,0.22,0.1,0.16,0.08,0.09,0.08,0.59,0.56
5727d86840dc8,37,Male,7,no,objTwoColors,#FF8000,7,59,59,5,Red,Green,0.22,0.09,0.16,0.07,0.08,0.08,0.59,0.56
572c85675a5ef,23,Male,32,yes,objTwoColors,#FF8000,8,173,80,3,Red,Blue,0.39,0.16,0.12,0.09,0.15,0.09,0.45,0.44
5734918f46823,26,Male,32,no,objTwoColors,#FF8000,58,14,44,4,Green,Red,0.33,0.08,0.19,0.07,0.07,0.07,0.37,0.34
5735d3455a84c,29,Male,32,no,objTwoColors,#FF8000,48,353,95,4,Yellow,Red,0.3,0.17,0.16,0.1,0.13,0.12,0.42,0.39
5736048bb110b,19,Male,32,no,objTwoColors,#FF8000,28,26,60,5,Red,Red,0.27,0.13,0.11,0.12,0.13,0.14,0.5,0.47
573634984323e,19,Male,32,no,objTwoColors,#FF8000,13,56,82,4,Red,Green,0.2,0.08,0.14,0.07,0.08,0.08,0.57,0.54
57366c199283c,19,Male,32,no,objTwoColors,#FF8000,4,54,57,4,Red,Green,0.22,0.12,0.16,0.08,0.11,0.1,0.59,0.55
573678e895606,27,Male,2,no,objTwoColors,#FF8000,59,1,126,5,Green,Red,0.36,0.11,0.19,0.08,0.1,0.08,0.39,0.36
5738cf3d97a58,23,Male,32,no,objTwoColors,#FF8000,0,45,306,4,Red,Yellow,0.27,0.16,0.16,0.11,0.15,0.13,0.59,0.56
573a0b8280839,29,Male,21,yes,objTwoColors,#FF7200,52,42,44,3,Green,Yellow,0.14,0.02,0.17,0.02,0.01,0.02,0.35,0.31
573c70dabcfe0,49,Male,32,yes,objTwoColors,#FF7200,56,92,116,2,Green,Green,0.19,0.1,0.18,0.05,0.11,0.08,0.39,0.37
573e4022949b1,24,Male,32,yes,objTwoColors,#FF7200,24,0,53,5,Red,Red,0.39,0.21,0.12,0.18,0.2,0.2,0.57,0.54
573e47c26cb8e,24,Male,32,yes,objTwoColors,#FF7200,18,47,44,3,Red,Yellow,0.21,0.1,0.13,0.08,0.09,0.1,0.53,0.5
573e4d0eb795b,24,Male,32,yes,objTwoColors,#FF7200,7,0,100,3,Red,Red,0.47,0.23,0.16,0.21,0.23,0.24,0.65,0.62
573edae85268b,27,Male,32,yes,objTwoColors,#FF7200,2,44,103,4,Red,Yellow,0.26,0.16,0.16,0.11,0.14,0.13,0.58,0.55
5740ad339507d,40,Male,32,yes,objTwoColors,#FF7200,5,0,24,3,Red,Red,0.47,0.23,0.16,0.21,0.23,0.24,0.65,0.62
5740b0f8e9734,62,Male,33,yes,objTwoColors,#FF7200,27,0,40,4,Red,Red,0.37,0.2,0.12,0.17,0.2,0.19,0.55,0.52
5740b686127bb,32,Male,32,yes,objTwoColors,#FF7200,3,52,192,5,Red,Green,0.23,0.13,0.16,0.09,0.12,0.1,0.59,0.55
574297edae49c,24,Male,32,no,objTwoColors,#FF8000,3,51,36,4,Red,Green,0.23,0.13,0.16,0.09,0.12,0.11,0.59,0.55
57459c393bbd0,29,Male,31,no,objTwoColors,#FF8000,55,3,112,4,Green,Red,0.35,0.12,0.18,0.08,0.11,0.09,0.4,0.37
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF8000,0,0,0,4,Red,Red,0.48,0.23,0.17,0.22,0.23,0.25,0.66,0.63
574859b8f3379,30,Male,32,yes,objTwoColors,#FF7200,8,59,78,5,Red,Green,0.21,0.09,0.16,0.07,0.08,0.08,0.58,0.55
5756ab1701ba0,21,Male,32,yes,objTwoColors,#FF7200,0,20,39,4,Red,Red,0.42,0.22,0.16,0.19,0.21,0.21,0.63,0.59
5756ae6897296,21,Male,32,yes,objTwoColors,#FF7200,58,44,140,4,Green,Yellow,0.15,0.02,0.19,0.01,0.02,0.01,0.32,0.29
5757fd2703090,22,Male,32,yes,objTwoColors,#FF8000,6,59,60,5,Red,Green,0.22,0.1,0.16,0.08,0.09,0.08,0.59,0.56
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#FF8000,1,56,65,4,Red,Green,0.23,0.12,0.16,0.08,0.11,0.09,0.6,0.57
57581518c2c07,25,Male,32,yes,objTwoColors,#FF8000,58,350,303,4,Green,Red,0.35,0.15,0.19,0.08,0.1,0.08,0.37,0.34
57582b17cd76a,26,Male,32,yes,objTwoColors,#FF8000,15,57,54,4,Red,Green,0.19,0.08,0.14,0.06,0.07,0.08,0.56,0.53
