id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbe10cade,objTwoColors,#0000FF,189,311,732,4,0.12,0,0.27,0.03,0.02,0.05
5710cc2b8a642,objTwoColors,#0000FF,225,228,82,2,0.52,0.02,0.46,0.1,0.13,0.25
5710cc5a7829c,objTwoColors,#0000FF,236,0,106,5,0.65,0.18,0.42,0.13,0.1,0.13
5710cd0a515bb,objTwoColors,#0000FF,234,0,831,5,0.65,0.17,0.42,0.13,0.1,0.13
5710cd99df604,objTwoColors,#0000FF,249,239,1265,1,0.55,0.01,0.52,0.11,0.16,0.26
5710ce6c1308c,objTwoColors,#0000FF,232,229,93,5,0.53,0.01,0.49,0.11,0.15,0.25
5710ceb320fdf,objTwoColors,#0000FF,231,228,124,5,0.53,0.01,0.48,0.11,0.14,0.25
5710cf445718e,objTwoColors,#0000FF,146,299,318,3,0.2,0.03,0.3,0.07,0.07,0.04
5710d140b7c5a,objTwoColors,#0000FF,232,0,63,5,0.64,0.17,0.41,0.13,0.1,0.13
5710d28fec2d1,objTwoColors,#0000FF,0,54,74,1,0.72,0.52,0.28,0.25,0.37,0.26
5710d71ff24c3,objTwoColors,#0000FF,47,88,159,5,0.64,0.52,0.25,0.23,0.36,0.27
5710d9dcc23f0,objTwoColors,#0000FF,233,232,71,5,0.55,0,0.24,0.11,0.15,0.26
5710dc97aac05,objTwoColors,#0000FF,179,307,485,2,0.04,0.01,0.27,0.04,0,0.03
5710e540a9514,objTwoColors,#0000FF,211,318,653,1,0.3,0.03,0.32,0.05,0.06,0.09
5710e60f69205,objTwoColors,#0000FF,40,125,841,3,0.69,0.53,0.27,0.21,0.37,0.27
5710e9f31cdc4,objTwoColors,#0000FF,55,118,583,4,0.65,0.53,0.26,0.23,0.38,0.28
57110028bc74b,objTwoColors,#0000FF,0,190,118,5,0.57,0.07,0.27,0.13,0.15,0.12
571103343658b,objTwoColors,#0000FF,237,227,163,5,0.54,0,0.49,0.11,0.15,0.26
5711106ab212a,objTwoColors,#0000FF,290,192,281,3,0.41,0.01,0.3,0.02,0.05,0.11
57111f6c42412,objTwoColors,#0000FF,226,0,100,5,0.63,0.15,0.39,0.13,0.09,0.12
57112a657ac25,objTwoColors,#0000FF,224,0,59,3,0.62,0.15,0.38,0.13,0.09,0.12
57112b9e10661,objTwoColors,#0000FF,189,182,92,2,0.3,0.24,0.21,0.07,0.14,0.1
57112cec29456,objTwoColors,#0000FF,228,231,176,5,0.54,0.01,0.48,0.11,0.14,0.25
57112d8509632,objTwoColors,#0000FF,226,235,156,5,0.53,0.01,0.48,0.11,0.15,0.25
57112da850667,objTwoColors,#0000FF,234,0,162,3,0.65,0.17,0.42,0.13,0.1,0.13
57112e1a2bbbb,objTwoColors,#0000FF,275,253,350,1,0.49,0.03,0.48,0.08,0.13,0.23
57112e8f42ab6,objTwoColors,#0000FF,312,0,700,3,0.55,0.44,0.33,0.23,0.3,0.22
57112ebc85ba1,objTwoColors,#0000FF,232,231,171,1,0.54,0,0.23,0.11,0.15,0.26
57112efa50be6,objTwoColors,#0000FF,0,184,353,4,0.58,0.06,0.26,0.14,0.17,0.13
571130c5cd6e9,objTwoColors,#0000FF,111,300,406,4,0.28,0.52,0.32,0.09,0.14,0.09
571130d934bda,objTwoColors,#0000FF,225,223,94,5,0.51,0.02,0.44,0.1,0.12,0.24
5711348e42f02,objTwoColors,#0000FF,234,0,546,4,0.65,0.17,0.42,0.13,0.1,0.13
571137a34931a,objTwoColors,#0000FF,258,196,395,2,0.48,0.01,0.35,0.07,0.09,0.18
57113869c7da3,objTwoColors,#0000FF,0,0,0,1,0.72,0.55,0.42,0.31,0.42,0.33
57113ce1334e0,objTwoColors,#0000FF,289,15,266,2,0.55,0.41,0.35,0.18,0.25,0.16
57113d4d93c81,objTwoColors,#0000FF,187,280,702,2,0.21,0,0.3,0.03,0.05,0.11
57113d9cc42b5,objTwoColors,#0000FF,222,0,60,5,0.62,0.14,0.38,0.13,0.09,0.11
57113de4aed1a,objTwoColors,#0000FF,101,52,158,2,0.55,0.52,0.26,0.23,0.38,0.27
57113e6176346,objTwoColors,#0000FF,0,208,56,4,0.57,0.11,0.32,0.13,0.1,0.1
571153ca15566,objTwoColors,#0000FF,217,265,634,2,0.45,0.01,0.43,0.08,0.13,0.22
571153e3025f9,objTwoColors,#0000FF,218,208,551,0,0.45,0.07,0.34,0.07,0.07,0.19
571154184c9bd,objTwoColors,#0000FF,228,0,13,1,0.64,0.16,0.4,0.13,0.1,0.12
5711641931da5,objTwoColors,#0000FF,234,248,453,5,0.55,0.01,0.51,0.11,0.16,0.26
571165992a5c1,objTwoColors,#0000FF,57,122,272,3,0.65,0.54,0.26,0.22,0.38,0.28
57116b9b879bf,objTwoColors,#0000FF,248,221,0,5,0.53,0,0.46,0.1,0.14,0.24
5711703bd85fc,objTwoColors,#0000FF,232,223,2,5,0.52,0.01,0.47,0.1,0.14,0.25
5711760a3dfe0,objTwoColors,#0000FF,230,233,714,5,0.54,0,0.49,0.11,0.15,0.26
571183866d73f,objTwoColors,#0000FF,57,129,199,4,0.64,0.54,0.26,0.22,0.37,0.28
57119224388ef,objTwoColors,#0000FF,117,54,218,5,0.57,0.53,0.26,0.22,0.38,0.28
5711ace2ee7ed,objTwoColors,#0000FF,228,229,145,5,0.53,0.01,0.48,0.1,0.14,0.25
571210e10d88b,objTwoColors,#0000FF,231,0,142,5,0.64,0.17,0.41,0.13,0.1,0.13
571214121717c,objTwoColors,#0000FF,1,0,161,0,0.72,0.55,0.42,0.31,0.42,0.33
57121540dbb98,objTwoColors,#0000FF,248,254,198,5,0.54,0,0.51,0.11,0.16,0.26
5712197fbccd5,objTwoColors,#0000FF,0,200,58,4,0.56,0.09,0.29,0.13,0.12,0.1
57121e2a63601,objTwoColors,#0000FF,138,42,58,3,0.51,0.54,0.26,0.21,0.35,0.26
57122801e1da9,objTwoColors,#0000FF,195,312,616,2,0.16,0,0.28,0.02,0.03,0.06
57123bec83e8e,objTwoColors,#0000FF,232,233,431,5,0.54,0,0.24,0.11,0.15,0.26
57123e4050550,objTwoColors,#0000FF,236,239,625,5,0.55,0.01,0.24,0.11,0.16,0.26
571243bcc8142,objTwoColors,#0000FF,309,184,263,4,0.41,0.01,0.27,0.03,0.01,0.04
571247f66fb51,objTwoColors,#0000FF,229,238,163,5,0.54,0,0.5,0.11,0.15,0.26
571252e6d2e70,objTwoColors,#0000FF,207,247,315,4,0.44,0.01,0.4,0.09,0.12,0.21
571260c120253,objTwoColors,#0000FF,236,214,152,2,0.51,0.02,0.42,0.1,0.13,0.23
5712649f2fada,objTwoColors,#0000FF,252,261,245,5,0.52,0.01,0.5,0.1,0.14,0.25
57127bcfaafb0,objTwoColors,#0000FF,232,225,467,5,0.53,0.01,0.47,0.1,0.14,0.25
57129d6d25453,objTwoColors,#0000FF,0,206,188,5,0.56,0.1,0.31,0.13,0.11,0.1
5712bd55a8a13,objTwoColors,#0000FF,230,0,87,5,0.64,0.16,0.4,0.13,0.1,0.13
5712c2b021f58,objTwoColors,#0000FF,178,238,938,5,0.27,0.1,0.32,0.05,0.05,0.14
5712c57f97f25,objTwoColors,#0000FF,238,254,270,4,0.54,0.01,0.51,0.11,0.16,0.26
