id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cd99df604,23,Female,32,no,objTwoColors,#FF0080,316,355,494,1,0.59,0.04,0.02,0.03,0,0.02
5710ce6c1308c,23,Female,32,no,objTwoColors,#FF0080,350,300,532,3,0.06,0.04,0.04,0.06,0.06,0.05
5710d71ff24c3,20,Female,32,no,objTwoColors,#FF0080,16,276,142,3,0.19,0.03,0.07,0.13,0.09,0.08
5710e540a9514,52,Female,32,no,objTwoColors,#FF0080,3,16,10,4,0.31,0.15,0.02,0.04,0.11,0.13
5710e60f69205,24,Female,31,no,objTwoColors,#FF0080,332,0,418,4,0.47,0.12,0.02,0.01,0.07,0.08
5710ee9e58646,25,Female,32,yes,objTwoColors,#FF0080,353,254,371,2,0.23,0.19,0.11,0.14,0.2,0.13
57110028bc74b,48,Female,32,no,objTwoColors,#FF0080,0,311,203,3,0.02,0.04,0.03,0.04,0.01,0.01
571103343658b,20,Female,32,no,objTwoColors,#FF0080,330,332,176,5,0.34,0.01,0.01,0.07,0.03,0.02
57112a657ac25,20,Female,24,no,objTwoColors,#FF0080,327,0,66,3,0.51,0.1,0.02,0.02,0.05,0.06
57112b9e10661,64,Female,34,no,objTwoColors,#FF0080,10,155,37,2,0.33,0.34,0.04,0.17,0.24,0.2
57112d8509632,45,Female,32,no,objTwoColors,#FF0080,335,333,194,5,0.31,0.03,0.02,0.06,0.01,0.01
57112da850667,22,Female,47,no,objTwoColors,#FF0080,0,302,959,1,0.03,0.01,0.05,0.05,0.03,0.02
57112da850667,22,Female,47,no,objTwoColors,#FF0080,260,350,373,4,0.83,0.18,0.1,0.14,0.19,0.13
57112e8f42ab6,21,Female,6,no,objTwoColors,#FF0080,187,354,558,2,0.75,0.34,0.05,0.19,0.22,0.15
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF0080,7,0,5,4,0.34,0.16,0.03,0.04,0.12,0.13
57112f57403ee,25,Female,14,no,objTwoColors,#FF0080,0,300,479,2,0.04,0,0.05,0.05,0.03,0.03
5711300507308,21,Female,13,no,objTwoColors,#FF0080,34,59,112,3,0.49,0.22,0.07,0.19,0.21,0.21
571130c5cd6e9,24,Female,32,no,objTwoColors,#FF0080,29,306,101,5,0.13,0.12,0.01,0.1,0.04,0.05
571130d934bda,22,Female,32,no,objTwoColors,#FF0080,324,176,167,2,0.43,0.39,0.06,0.22,0.27,0.2
5711348e42f02,19,Female,32,no,objTwoColors,#FF0080,9,184,192,4,0.21,0.37,0.05,0.19,0.23,0.16
571137a34931a,27,Female,25,no,objTwoColors,#FF0080,28,332,402,4,0.29,0.16,0.02,0.06,0.06,0.07
57113ce1334e0,19,Female,12,no,objTwoColors,#FF0080,8,0,36,4,0.34,0.16,0.03,0.04,0.12,0.13
57113d4d93c81,18,Female,32,no,objTwoColors,#FF0080,291,0,123,3,0.74,0.04,0.06,0.08,0.05,0.05
57113e6176346,23,Female,30,no,objTwoColors,#FF0080,4,163,136,3,0.27,0.34,0.04,0.17,0.23,0.19
571153e3025f9,22,Female,11,no,objTwoColors,#FF0080,8,176,673,1,0.23,0.36,0.05,0.18,0.23,0.17
571154184c9bd,47,Female,32,no,objTwoColors,#FF0080,14,188,95,1,0.21,0.38,0.05,0.2,0.23,0.16
5711641931da5,20,Female,32,no,objTwoColors,#FF0080,8,300,204,3,0.05,0.03,0.05,0.06,0.03,0.03
571165992a5c1,67,Female,32,no,objTwoColors,#FF0080,300,353,283,3,0.67,0.03,0.04,0.06,0.05,0.04
5711703bd85fc,18,Female,32,no,objTwoColors,#FF0080,55,8,320,3,0.58,0.16,0.04,0.14,0.14,0.16
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF0080,7,296,165,3,0.07,0.01,0.05,0.07,0.04,0.04
